Postville Makkovik 42.47
Postville Goose_Bay 181.84
Postville Hopedale 66.14
Osubi Abuja 457.28
Osubi Lagos 274.48
Rockland Boston 243.81
Jacksn_Hole Salt_Lake_City 329.77
Jacksn_Hole Denver 653.12
Flores Belize_City 179.56
Flores Guatemala_City 268.71
Bar_Harbor Boston 315.31
Butte Salt_Lake_City 576.19
Traverse_City Chicago 360.13
Traverse_City Detroit 333.87
Traverse_City Minneapolis 602.81
Bozeman Seattle 871.09
Bozeman Minneapolis 1403.31
Bozeman Salt_Lake_City 558.88
Bozeman Denver 843.85
Bozeman Mesa 1387.66
Bozeman Las_Vegas 1129.23
Bozeman Chicago 1904.51
Billings Glendive 321.7
Billings Glasgow 304.48
Billings Havre 317.85
Billings Wolf_Point 339.37
Billings Sidney 392.58
Billings Portland 1091.12
Billings Seattle 1066.15
Billings Minneapolis 1199.91
Billings Salt_Lake_City 623.89
Billings Mesa 1415.68
Billings Las_Vegas 1215.47
Billings Denver 732.57
Rockford Mesa 2207.18
Rockford Las_Vegas 2337.98
Rockford Punta_Gorda 1817.82
Rockford St._Petersburg 1691.41
Rockford Sanford 1651.67
Moscow Kazan 715.89
Moscow Nizhnekamsk 893.05
Moscow Bugulma 951.74
Moscow Astrakhan 1235.61
Moscow Bukhara 2616.48
Moscow Belgorod 537.23
Moscow Fergana 2983.3
Moscow Khanabad 2775.94
Moscow Namangan 2922.77
Moscow Navoi 2625.03
Moscow Samarkand 2761.2
Moscow Tivat 2001.69
Moscow Krasnodar 1157.34
Moscow St._Petersburg 667.1
Moscow Mirnyj 4172.81
Moscow Yakutia 3921.91
Moscow Saratov 703.15
Moscow Dushanbe 2962.47
Moscow Khudzhand 2874.13
Moscow Aktyubinsk 1412.5
Moscow Cheboksary 595.4
Moscow Elista 1100.28
Moscow Grozny 1460.78
Moscow Izhevsk 974.95
Moscow Makhachkala 1566.62
Moscow Petrozavodsk 752.08
Moscow Penza 527.87
Moscow Saransk 489.82
Moscow Ulyanovsk 672.48
Moscow Vorkuta 1903.76
Moscow Voronezh 409.21
Moscow Chisinau 1130.13
Moscow Athens 2206.98
Moscow Kerkyra/corfu 2204.05
Moscow Heraklion 2434.77
Moscow Kos 2226.15
Moscow Rhodos 2241.06
Moscow Thessaloniki 1985.78
Moscow Batumi 1558.17
Moscow Duesseldorf 2098.82
Moscow Frankfurt 2049.46
Moscow Munich 1942.63
Moscow Berlin 1631.96
Moscow Helsinki 937.91
Moscow Minsk_2 657.24
Moscow London 2545.48
Moscow Enfidha 2990.83
Moscow Riga 877.68
Moscow Rome 2394.81
